"from";"to";"type";"subtype";"value"
"120";"84";"89";"PPrel";"phosphorylation";"+p"
"121";"84";"120";"PPrel";"inhibition";"--|"
"122";"84";"120";"PPrel";"phosphorylation";"+p"
"123";"129";"127";"PPrel";"dephosphorylation";"-p"
"124";"48";"49";"PPrel";"inhibition";"--|"
"125";"43";"49";"PPrel";"inhibition";"--|"
"126";"42";"49";"PPrel";"inhibition";"--|"
"127";"22";"36";"PPrel";"inhibition";"--|"
"128";"22";"36";"PPrel";"dephosphorylation";"-p"
"129";"21";"36";"PPrel";"inhibition";"--|"
"130";"21";"36";"PPrel";"dephosphorylation";"-p"
"131";"81";"119";"PPrel";"inhibition";"--|"
"132";"81";"119";"PPrel";"dephosphorylation";"-p"
"133";"81";"77";"PPrel";"inhibition";"--|"
"134";"81";"77";"PPrel";"dephosphorylation";"-p"
"135";"82";"119";"PPrel";"inhibition";"--|"
"136";"82";"119";"PPrel";"dephosphorylation";"-p"
"137";"82";"77";"PPrel";"inhibition";"--|"
"138";"82";"77";"PPrel";"dephosphorylation";"-p"
"139";"83";"80";"PPrel";"inhibition";"--|"
"140";"83";"80";"PPrel";"dephosphorylation";"-p"
"141";"83";"79";"PPrel";"inhibition";"--|"
"142";"83";"79";"PPrel";"dephosphorylation";"-p"
"143";"83";"118";"PPrel";"inhibition";"--|"
"144";"83";"118";"PPrel";"dephosphorylation";"-p"
"145";"83";"120";"PPrel";"inhibition";"--|"
"146";"83";"120";"PPrel";"dephosphorylation";"-p"
"147";"78";"89";"PPrel";"inhibition";"--|"
"148";"78";"89";"PPrel";"dephosphorylation";"-p"
"149";"23";"88";"PPrel";"inhibition";"--|"
"150";"23";"88";"PPrel";"dephosphorylation";"-p"
"151";"123";"119";"PPrel";"inhibition";"--|"
"152";"124";"119";"PPrel";"inhibition";"--|"
"153";"288";"137";"GErel";"expression";"-->"
"154";"104";"98";"PPrel";"indirect effect";"..>"
"155";"35";"33";"PPrel";"indirect effect";"..>"
"156";"34";"33";"PPrel";"indirect effect";"..>"
"157";"55";"20";"PPrel";"compound";"28"
"158";"55";"50";"PPrel";"compound";"28"
"159";"19";"104";"PCrel";"activation";"-->"
"160";"26";"47";"PCrel";"activation";"-->"
"161";"25";"44";"PCrel";"activation";"-->"
"162";"25";"46";"PCrel";"activation";"-->"
"163";"26";"46";"PCrel";"activation";"-->"
"164";"103";"114";"PPrel";"activation";"-->"
"165";"103";"133";"PPrel";"activation";"-->"
"166";"35";"34";"PPrel";"phosphorylation";"+p"
"167";"98";"88";"PPrel";"activation";"-->"
"168";"97";"88";"PPrel";"activation";"-->"
"169";"108";"275";"PPrel";NA;NA
"170";"275";"102";"PPrel";"activation";"-->"
"171";"275";"103";"PPrel";"activation";"-->"
"172";"275";"103";"PPrel";"indirect effect";"..>"
"173";"107";"278";"PPrel";"activation";"-->"
"174";"278";"279";"PPrel";"activation";"-->"
"175";"102";"98";"PPrel";"activation";"-->"
"176";"279";"100";"PPrel";"activation";"-->"
"177";"279";"100";"PPrel";"indirect effect";"..>"
"178";"100";"98";"PPrel";"binding/association";"---"
"179";"274";"54";"PPrel";"activation";"-->"
"180";"49";"284";"PPrel";"activation";"-->"
"181";"284";"39";"PPrel";"activation";"-->"
"182";"284";"39";"PPrel";"phosphorylation";"+p"
"183";"284";"38";"PPrel";"activation";"-->"
"184";"284";"38";"PPrel";"phosphorylation";"+p"
"185";"86";"80";"PPrel";"activation";"-->"
"186";"86";"80";"PPrel";"phosphorylation";"+p"
"187";"86";"79";"PPrel";"activation";"-->"
"188";"86";"79";"PPrel";"phosphorylation";"+p"
"189";"85";"80";"PPrel";"activation";"-->"
"190";"85";"80";"PPrel";"phosphorylation";"+p"
"191";"85";"79";"PPrel";"activation";"-->"
"192";"85";"79";"PPrel";"phosphorylation";"+p"
"193";"49";"133";"PPrel";NA;NA
